,_id,Sensor_ID,data,Tid
0,634563852abb7832881700fd,eui-a81758fffe075b66,"{'humidity': 27, 'temperature': 24, 'vdd': 3623, 'waterleak': 0}",2022-10-11 14:37:00
1,634563b82abb7832881700fe,eui-a81758fffe075c91,"{'humidity': 28, 'temperature': 23.4, 'vdd': 3624, 'waterleak': 0}",2022-10-11 14:37:26
2,634563e72abb7832881700ff,eui-a81758fffe075b65,"{'humidity': 33, 'temperature': 22, 'vdd': 3634, 'waterleak': 0}",2022-10-11 14:38:17
3,634564112abb783288170100,eui-a81758fffe075b66,"{'humidity': 27, 'temperature': 24, 'vdd': 3625, 'waterleak': 0}",2022-10-11 14:39:04
4,634564442abb783288170101,eui-a81758fffe075c91,"{'humidity': 28, 'temperature': 23.4, 'vdd': 3624, 'waterleak': 0}",2022-10-11 14:39:46
5,634564732abb783288170102,eui-a81758fffe075b65,"{'humidity': 33, 'temperature': 22, 'vdd': 3634, 'waterleak': 0}",2022-10-11 14:40:37
6,6345649d2abb783288170103,eui-a81758fffe075b66,"{'humidity': 27, 'temperature': 24, 'vdd': 3625, 'waterleak': 0}",2022-10-11 14:41:24
7,63456686f5f7f6d75929650b,eui-a81758fffe075b66,"{'humidity': 27, 'temperature': 24, 'vdd': 3623, 'waterleak': 0}",2022-10-11 14:49:53
8,63456775df643d19d0f4f650,eui-a81758fffe075b65,"{'humidity': 33, 'temperature': 22, 'vdd': 3631, 'waterleak': 0}",2022-10-11 14:53:43
9,6345679edf643d19d0f4f651,eui-a81758fffe075b66,"{'humidity': 27, 'temperature': 24, 'vdd': 3623, 'waterleak': 0}",2022-10-11 14:54:14
10,634567d2df643d19d0f4f652,eui-a81758fffe075c91,"{'humidity': 28, 'temperature': 23.4, 'vdd': 3627, 'waterleak': 0}",2022-10-11 14:54:55
11,63456801df643d19d0f4f653,eui-a81758fffe075b65,"{'humidity': 33, 'temperature': 22.1, 'vdd': 3634, 'waterleak': 0}",2022-10-11 14:55:47
12,6345682adf643d19d0f4f654,eui-a81758fffe075b66,"{'humidity': 27, 'temperature': 24, 'vdd': 3625, 'waterleak': 0}",2022-10-11 14:56:34
13,6345685edf643d19d0f4f655,eui-a81758fffe075c91,"{'humidity': 28, 'temperature': 23.4, 'vdd': 3627, 'waterleak': 0}",2022-10-11 14:57:15
14,6345688ddf643d19d0f4f656,eui-a81758fffe075b65,"{'humidity': 33, 'temperature': 22, 'vdd': 3634, 'waterleak': 0}",2022-10-11 14:58:07
15,634568b6df643d19d0f4f657,eui-a81758fffe075b66,"{'humidity': 27, 'temperature': 24, 'vdd': 3623, 'waterleak': 0}",2022-10-11 14:58:54
16,634568eadf643d19d0f4f658,eui-a81758fffe075c91,"{'humidity': 28, 'temperature': 23.4, 'vdd': 3627, 'waterleak': 0}",2022-10-11 14:59:35
17,63456919df643d19d0f4f659,eui-a81758fffe075b65,"{'humidity': 33, 'temperature': 22, 'vdd': 3634, 'waterleak': 0}",2022-10-11 15:00:27
18,63456942df643d19d0f4f65a,eui-a81758fffe075b66,"{'humidity': 27, 'temperature': 24.1, 'vdd': 3625, 'waterleak': 0}",2022-10-11 15:01:14
19,63456976df643d19d0f4f65b,eui-a81758fffe075c91,"{'humidity': 28, 'temperature': 23.4, 'vdd': 3627, 'waterleak': 0}",2022-10-11 15:01:55
20,634569a5df643d19d0f4f65c,eui-a81758fffe075b65,"{'humidity': 33, 'temperature': 22, 'vdd': 3634, 'waterleak': 0}",2022-10-11 15:02:47
21,634569cedf643d19d0f4f65d,eui-a81758fffe075b66,"{'humidity': 27, 'temperature': 24, 'vdd': 3623, 'waterleak': 0}",2022-10-11 15:03:34
22,63456a02df643d19d0f4f65e,eui-a81758fffe075c91,"{'humidity': 28, 'temperature': 23.4, 'vdd': 3627, 'waterleak': 0}",2022-10-11 15:04:15
23,63456a31df643d19d0f4f65f,eui-a81758fffe075b65,"{'humidity': 33, 'temperature': 22, 'vdd': 3634, 'waterleak': 0}",2022-10-11 15:05:07
24,63456a5adf643d19d0f4f660,eui-a81758fffe075b66,"{'humidity': 27, 'temperature': 24, 'vdd': 3625, 'waterleak': 0}",2022-10-11 15:05:54
25,63456a8edf643d19d0f4f661,eui-a81758fffe075c91,"{'humidity': 28, 'temperature': 23.4, 'vdd': 3627, 'waterleak': 0}",2022-10-11 15:06:35
26,63456abddf643d19d0f4f662,eui-a81758fffe075b65,"{'humidity': 33, 'temperature': 22, 'vdd': 3634, 'waterleak': 0}",2022-10-11 15:07:27
27,63456ae6df643d19d0f4f663,eui-a81758fffe075b66,"{'humidity': 27, 'temperature': 24, 'vdd': 3625, 'waterleak': 0}",2022-10-11 15:08:14
28,63456b1adf643d19d0f4f664,eui-a81758fffe075c91,"{'humidity': 28, 'temperature': 23.4, 'vdd': 3627, 'waterleak': 0}",2022-10-11 15:08:55
29,63456b49df643d19d0f4f665,eui-a81758fffe075b65,"{'humidity': 33, 'temperature': 22, 'vdd': 3634, 'waterleak': 0}",2022-10-11 15:09:47
30,63456b72df643d19d0f4f666,eui-a81758fffe075b66,"{'humidity': 27, 'temperature': 24, 'vdd': 3625, 'waterleak': 0}",2022-10-11 15:10:34
31,63456ba6df643d19d0f4f667,eui-a81758fffe075c91,"{'humidity': 28, 'temperature': 23.4, 'vdd': 3627, 'waterleak': 0}",2022-10-11 15:11:15
32,63456bd5df643d19d0f4f668,eui-a81758fffe075b65,"{'humidity': 33, 'temperature': 22, 'vdd': 3634, 'waterleak': 0}",2022-10-11 15:12:07
