Date;Median daily temp
2018-01-01;1.5
2018-01-02;2.1
2018-01-03;1.7
2018-01-04;1.6
2018-01-05;-0.2
2018-01-06;-4.4
2018-01-07;-3.4
2018-01-08;-2.7
2018-01-09;-1.7
2018-01-10;-7.2
2018-01-11;-2.4
2018-01-12;-0.9
2018-01-13;-1.0
2018-01-14;-1.0
2018-01-15;-1.2
2018-01-16;0.3
2018-01-17;-2.0
2018-01-18;-3.2
2018-01-19;-4.1
2018-01-20;-3.2
2018-01-21;-10.0
2018-01-22;-7.5
2018-01-23;-3.7
2018-01-24;2.2
2018-01-25;5.3
2018-01-26;3.3
2018-01-27;-0.9
2018-01-28;0.3
2018-01-29;0.0
2018-01-30;-1.7
2018-01-31;0.0
2018-02-01;0.5
2018-02-02;-4.0
2018-02-03;-5.1
2018-02-04;-5.5
2018-02-05;-10.4
2018-02-06;-7.9
2018-02-07;-5.4
2018-02-08;-1.8
2018-02-09;-3.9
2018-02-10;-2.8
2018-02-11;-2.0
2018-02-12;1.0
2018-02-13;0.5
2018-02-14;-0.1
2018-02-15;-1.6
2018-02-16;-0.4
2018-02-17;-3.4
2018-02-18;-1.5
2018-02-19;-2.9
2018-02-20;-6.1
2018-02-21;-6.9
2018-02-22;-5.6
2018-02-23;-4.4
2018-02-24;-7.7
2018-02-25;-8.2
2018-02-26;-7.6
2018-02-27;-11.3
2018-02-28;-12.3
2018-03-01;-8.8
2018-03-02;-7.5
2018-03-03;-6.9
2018-03-04;-4.4
2018-03-05;-5.5
2018-03-06;-2.7
2018-03-07;-1.9
2018-03-08;-3.4
2018-03-09;-1.0
2018-03-10;-2.6
2018-03-11;-1.7
2018-03-12;0.7
2018-03-13;0.1
2018-03-14;-1.8
2018-03-15;-5.8
2018-03-16;-7.5
2018-03-17;-5.8
2018-03-18;-4.3
2018-03-19;-0.5
2018-03-20;-2.1
2018-03-21;0.2
2018-03-22;2.3
2018-03-23;2.5
2018-03-24;1.1
2018-03-25;4.4
2018-03-26;-1.3
2018-03-27;-3.6
2018-03-28;-3.1
2018-03-29;-2.9
2018-03-30;-2.1
2018-03-31;-0.7
2018-04-01;-0.4
2018-04-02;1.7
2018-04-03;-0.1
2018-04-04;3.3
2018-04-05;4.0
2018-04-06;2.8
2018-04-07;3.6
2018-04-08;7.1
2018-04-09;3.4
2018-04-10;3.0
2018-04-11;3.2
2018-04-12;4.3
2018-04-13;6.5
2018-04-14;9.0
2018-04-15;7.0
2018-04-16;7.6
2018-04-17;8.5
2018-04-18;10.4
2018-04-19;11.1
2018-04-20;15.7
2018-04-21;12.8
2018-04-22;10.4
2018-04-23;7.3
